day vn n p vp neg tot
2 1 0 10 9 0 8 15
3 2 0 15 7 0 13 16
4 3 1 21 12 0 21 30
5 4 0 20 14 0 20 29
6 5 0 11 13 0 9 19
7 6 0 3 0 0 2 2
8 7 1 11 10 0 11 20
9 8 0 6 5 0 5 9
10 9 0 11 1 0 10 11
11 10 0 31 18 0 26 36
12 11 1 26 33 1 25 50
13 12 1 5 10 0 6 14
14 13 0 2 1 0 2 3
15 14 0 32 25 0 29 46
16 15 0 29 37 0 26 50
17 16 0 24 25 0 20 36
18 17 0 29 31 0 26 47
19 18 0 23 29 0 21 45
20 19 2 11 10 0 11 18
21 20 0 3 2 0 3 5
22 21 1 22 22 0 22 39
23 22 2 38 37 0 36 62
24 23 1 23 21 1 22 38
25 24 2 29 34 0 30 56
26 25 1 24 37 1 21 48
27 26 1 14 18 1 13 27
28 27 0 2 3 0 2 4
29 28 1 28 23 1 25 43
30 29 0 32 29 0 28 45
31 30 0 23 29 0 23 44
32 31 0 23 19 0 20 37
33 32 0 23 20 0 22 38
34 33 1 11 15 0 12 25
35 34 1 2 3 0 3 5
36 35 0 20 22 0 20 37
37 36 0 13 18 0 13 26
38 37 1 16 20 0 15 27
39 38 0 32 33 0 30 49
40 39 0 24 19 0 19 32
41 40 0 17 13 0 16 25
42 41 0 2 0 0 2 2
43 42 1 30 23 0 29 44
44 43 3 36 20 0 37 52
45 44 2 38 29 0 37 53
46 45 0 33 15 0 26 35
47 46 0 22 32 0 21 48
48 47 1 9 15 0 10 19
49 48 0 3 1 0 3 4
50 49 0 21 14 1 19 30
51 50 0 30 34 0 28 57
52 51 0 24 37 0 23 50
53 52 0 18 18 0 17 34
54 53 0 28 24 0 26 42
55 54 1 19 12 0 18 26
56 55 0 4 1 0 2 3
57 56 1 34 16 0 28 39
58 57 2 29 35 1 28 53
59 58 3 36 21 0 34 48
60 59 1 31 38 0 29 56
61 60 0 29 22 0 26 44
62 61 1 8 9 0 9 17
63 62 0 2 4 0 2 3
64 63 1 29 15 0 27 38
65 64 0 35 29 0 33 56
66 65 0 35 30 0 29 51
67 66 1 44 33 0 40 61
68 67 1 27 33 0 26 46
69 68 0 11 11 0 9 16
70 69 0 2 3 0 2 4
71 70 0 22 19 0 19 32
72 71 0 43 28 0 36 59
73 72 0 29 25 0 28 47
74 73 0 33 26 0 28 45
75 74 0 34 29 0 31 53
76 75 2 10 6 0 11 17
77 76 0 1 2 0 1 3
78 77 1 29 24 1 26 45
79 78 0 39 30 0 36 59
80 79 0 32 35 1 29 54
81 80 1 19 33 1 18 43
82 81 1 24 26 1 23 40
83 82 0 16 12 0 11 22
84 83 0 3 3 0 2 5
85 84 0 35 28 0 31 53
86 85 1 41 36 0 37 62
87 86 3 23 22 0 23 38
88 87 1 26 30 0 25 43
89 88 3 25 17 0 24 35
90 89 2 15 12 0 14 22
91 90 0 3 0 0 3 3
92 91 0 24 19 0 23 38
93 92 1 31 16 0 28 42
94 93 0 29 35 0 28 50
95 94 0 27 27 0 24 39
96 95 1 31 33 0 30 56
97 96 0 9 10 0 9 17
98 97 0 2 2 0 2 3
99 98 1 21 30 0 22 44
100 99 0 22 16 2 20 34
101 100 0 23 25 0 21 40
102 101 1 27 30 1 22 48
103 102 0 18 23 0 17 34
104 103 0 23 7 0 19 23
105 104 0 2 3 0 2 5
106 105 3 16 20 1 18 34
